model,scope,phase,sample_size,mean_job_ms,p50_job_ms,p95_job_ms,min_job_ms,max_job_ms,std_job_ms,mean_sample_ms,ns_per_step_per_sample,checksum,interventions,age_brackets,genders,oud_behaviors,steps,warmup,repetitions
v1,cold_start,combined,1,6026.593845,6026.593845,6026.593845,6026.593845,6026.593845,0,6026.593845,115896035.48,667550.771836,13,1,1,4,52,3,3
v1,cold_start,combined,5,30798.911271,30798.911271,30798.911271,30798.911271,30798.911271,0,6159.782254,118457351.04,667550.771836,13,1,1,4,52,3,3
v1,cold_start,combined,10,60939.933722,60939.933722,60939.933722,60939.933722,60939.933722,0,6093.993372,117192180.23,667550.771836,13,1,1,4,52,3,3
v1,cold_start,combined,25,149551.755187,149551.755187,149551.755187,149551.755187,149551.755187,0,5982.070207,115039811.68,667550.771836,13,1,1,4,52,3,3
v1,cold_start,combined,50,293165.68223,293165.68223,293165.68223,293165.68223,293165.68223,0,5863.313645,112756031.63,667550.771836,13,1,1,4,52,3,3
v2,cold_start,combined,1,102.961979,102.961979,102.961979,102.961979,102.961979,0,102.961979,1980038.06,96815.763118,4,1,1,2,52,3,3
v2,cold_start,combined,5,66.29371,66.29371,66.29371,66.29371,66.29371,0,13.258742,254975.81,96815.763118,4,1,1,2,52,3,3
v2,cold_start,combined,10,137.302224,137.302224,137.302224,137.302224,137.302224,0,13.730222,264042.74,96815.763118,4,1,1,2,52,3,3
v2,cold_start,combined,25,297.940968,297.940968,297.940968,297.940968,297.940968,0,11.917639,229185.36,96815.763118,4,1,1,2,52,3,3
v2,cold_start,combined,50,1009.367184,1009.367184,1009.367184,1009.367184,1009.367184,0,20.187344,388218.15,96815.763118,4,1,1,2,52,3,3
v1,cold_start,load,1,314.450887,314.450887,314.450887,314.450887,314.450887,0,314.450887,6047132.44,667550.771836,13,1,1,4,52,3,3
v1,cold_start,load,5,1254.458838,1254.458838,1254.458838,1254.458838,1254.458838,0,250.891768,4824841.68,667550.771836,13,1,1,4,52,3,3
v1,cold_start,load,10,2498.163328,2498.163328,2498.163328,2498.163328,2498.163328,0,249.816333,4804160.25,667550.771836,13,1,1,4,52,3,3
v1,cold_start,load,25,6330.245061,6330.245061,6330.245061,6330.245061,6330.245061,0,253.209802,4869419.28,667550.771836,13,1,1,4,52,3,3
v1,cold_start,load,50,12456.348115,12456.348115,12456.348115,12456.348115,12456.348115,0,249.126962,4790903.12,667550.771836,13,1,1,4,52,3,3
v2,cold_start,load,1,14.492163,14.492163,14.492163,14.492163,14.492163,0,14.492163,278695.44,96815.763118,4,1,1,2,52,3,3
v2,cold_start,load,5,59.922679,59.922679,59.922679,59.922679,59.922679,0,11.984536,230471.84,96815.763118,4,1,1,2,52,3,3
v2,cold_start,load,10,150.410501,150.410501,150.410501,150.410501,150.410501,0,15.04105,289250.96,96815.763118,4,1,1,2,52,3,3
v2,cold_start,load,25,292.041303,292.041303,292.041303,292.041303,292.041303,0,11.681652,224647.16,96815.763118,4,1,1,2,52,3,3
v2,cold_start,load,50,917.64354,917.64354,917.64354,917.64354,917.64354,0,18.352871,352939.82,96815.763118,4,1,1,2,52,3,3
v1,cold_start,run,1,0.488327,0.488327,0.488327,0.488327,0.488327,0,0.488327,9390.9,667550.771836,13,1,1,4,52,3,3
