model,sample_size,mean_ms,p50_ms,p95_ms,min_ms,max_ms,std_ms,ns_per_step,checksum,interventions,age_brackets,genders,oud_behaviors,semantic_state_points,state_size,steps,warmup,repetitions
v1,5,0.187,0.182,0.218,0.176,0.218,0.012,3592.5,1158402.5088,13,1,1,4,52,52,52,5,3
v2,5,0.117,0.117,0.125,0.103,0.125,0.005,2240.9,48857.8054,13,1,1,4,52,52,52,5,3
v1,25,0.206,0.202,0.233,0.175,0.259,0.013,3964.8,1158402.5088,13,1,1,4,52,52,52,5,3
v2,25,0.133,0.116,0.226,0.074,0.253,0.044,2550.6,48857.8054,13,1,1,4,52,52,52,5,3
v1,50,0.187,0.177,0.21,0.174,0.621,0.038,3589.6,1158402.5088,13,1,1,4,52,52,52,5,3
v2,50,0.151,0.136,0.227,0.129,0.253,0.03,2904.7,48857.8054,13,1,1,4,52,52,52,5,3
v1,100,0.182,0.176,0.205,0.173,0.647,0.039,3509.6,1158402.5088,13,1,1,4,52,52,52,5,3
v2,100,0.138,0.132,0.161,0.129,0.186,0.011,2657.3,48857.8054,13,1,1,4,52,52,52,5,3
v1,200,0.179,0.175,0.181,0.172,0.65,0.037,3447,1158402.5088,13,1,1,4,52,52,52,5,3
v2,200,0.133,0.13,0.151,0.128,0.397,0.013,2555.3,48857.8054,13,1,1,4,52,52,52,5,3
v1,400,0.18,0.176,0.186,0.173,0.649,0.037,3469.5,1158402.5088,13,1,1,4,52,52,52,5,3
v2,400,0.133,0.13,0.141,0.129,0.366,0.01,2548.7,48857.8054,13,1,1,4,52,52,52,5,3
