model,scope,phase,sample_size,mean_job_ms,p50_job_ms,p95_job_ms,min_job_ms,max_job_ms,std_job_ms,mean_sample_ms,ns_per_step_per_sample,checksum,interventions,age_brackets,genders,oud_behaviors,steps,warmup,repetitions
v2,cold_start,combined,1,399.247250,399.247250,399.247250,399.247250,399.247250,0.000000,399.247250,7677831.73,4919534.367032,13,1,1,4,52,3,3
v2,cold_start,load,1,121.965666,121.965666,121.965666,121.965666,121.965666,0.000000,121.965666,2345493.58,4919534.367032,13,1,1,4,52,3,3
v2,cold_start,run,1,0.730279,0.730279,0.730279,0.730279,0.730279,0.000000,0.730279,14043.83,4919534.367032,13,1,1,4,52,3,3
v2,cold_start,write,1,22.848345,22.848345,22.848345,22.848345,22.848345,0.000000,22.848345,439391.25,4919534.367032,13,1,1,4,52,3,3
v2,steady_state,combined,1,430.880306,379.762422,588.657246,324.221250,588.657246,139.432340,430.880306,8286159.73,4919534.367032,13,1,1,4,52,3,3
v2,steady_state,load,1,47.842354,47.709097,48.175981,47.641983,48.175981,0.290872,47.842354,920045.26,4919534.367032,13,1,1,4,52,3,3
v2,steady_state,run,1,0.804403,0.767129,0.886096,0.759984,0.886096,0.070838,0.804403,15469.29,4919534.367032,13,1,1,4,52,3,3
v2,steady_state,write,1,13.068241,12.999945,13.289152,12.915625,13.289152,0.195905,13.068241,251312.32,4919534.367032,13,1,1,4,52,3,3
v2,cold_start,combined,5,520.218290,520.218290,520.218290,520.218290,520.218290,0.000000,104.043658,2000839.58,24597671.835161,13,1,1,4,52,3,3
v2,cold_start,load,5,158.166052,158.166052,158.166052,158.166052,158.166052,0.000000,31.633210,608330.97,24597671.835161,13,1,1,4,52,3,3
v2,cold_start,run,5,3.997286,3.997286,3.997286,3.997286,3.997286,0.000000,0.799457,15374.18,24597671.835161,13,1,1,4,52,3,3
v2,cold_start,write,5,30.457121,30.457121,30.457121,30.457121,30.457121,0.000000,6.091424,117142.77,24597671.835161,13,1,1,4,52,3,3
